BASE	TYPE	NAME	1	2	3	4	5	6	7	8	9	10	11	12	13		order
BODY ARMOUR (DEX)	PREFIX	#% increased Evasion Rating, # to maximum Life	1000	1000	1000	1000	1000	1000									272
BODY ARMOUR (DEX)	PREFIX	# to Evasion Rating	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000				273
BODY ARMOUR (DEX)	PREFIX	# to maximum Life	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000		274
BODY ARMOUR (DEX)	PREFIX	# to Spirit	100	200	300	400	500	500	500	500							275
BODY ARMOUR (DEX)	SUFFIX	# Life Regeneration per second	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000				276
BODY ARMOUR (DEX)	SUFFIX	#% reduced Attribute Requirements	900	900	900	900	900										277
BODY ARMOUR (DEX)	SUFFIX	#% reduced Duration of Bleeding on You	500	500	500	500	500										278
BODY ARMOUR (DEX)	SUFFIX	#% reduced Ignite Duration on you	500	500	500	500	500										279
BODY ARMOUR (DEX)	SUFFIX	#% reduced Poison Duration on you	500	500	500	500	500										280
BODY ARMOUR (DEX)	SUFFIX	# to Dexterity	1000	1000	1000	1000	1000	1000	1000	1000							281
BODY ARMOUR (DEX)	SUFFIX	# to Stun Threshold	800	800	800	800	800	800	800	800	800	800					282
BODY ARMOUR (DEX)	SUFFIX	#% to Chaos Resistance	250	250	250	250	250	250									283
BODY ARMOUR (DEX)	SUFFIX	#% to Cold Resistance	1000	1000	1000	1000	1000	1000	1000	1000							284
BODY ARMOUR (DEX)	SUFFIX	#% to Fire Resistance	1000	1000	1000	1000	1000	1000	1000	1000							285
BODY ARMOUR (DEX)	SUFFIX	#% to Lightning Resistance	1000	1000	1000	1000	1000	1000	1000	1000							286
BODY ARMOUR (DEX)	SUFFIX	Gain Deflection Rating equal to #% of Evasion Rating	1000	1000	1000	1000	1000	1000									287
BODY ARMOUR (STR)	PREFIX	# to # Physical Thorns damage	1000	1000	1000	1000	1000	1000	1000								288
BODY ARMOUR (STR)	PREFIX	#% increased Armour	1000	1000	1000	1000	1000	1000	1000	1000							289
BODY ARMOUR (STR)	PREFIX	# to Armour, #% increased Armour	1000	1000	1000	1000	1000	1000									290
BODY ARMOUR (STR)	PREFIX	#% increased Armour, # to maximum Life	1000	1000	1000	1000	1000	1000									291
BODY ARMOUR (STR)	PREFIX	# to Armour	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000				292
BODY ARMOUR (STR)	PREFIX	# to maximum Life	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000		293
BODY ARMOUR (STR)	PREFIX	# to Spirit	100	200	300	400	500	500	500	500							294
BODY ARMOUR (STR)	SUFFIX	# Life Regeneration per second	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000				295
BODY ARMOUR (STR)	SUFFIX	#% reduced Attribute Requirements	900	900	900	900	900										296
BODY ARMOUR (STR)	SUFFIX	#% reduced Duration of Bleeding on You	500	500	500	500	500										297
BODY ARMOUR (STR)	SUFFIX	#% reduced Ignite Duration on you	500	500	500	500	500										298
BODY ARMOUR (STR)	SUFFIX	#% reduced Poison Duration on you	500	500	500	500	500										299
BODY ARMOUR (STR)	SUFFIX	# to Strength	1000	1000	1000	1000	1000	1000	1000	1000							300
BODY ARMOUR (STR)	SUFFIX	# to Stun Threshold	800	800	800	800	800	800	800	800	800	800					301
BODY ARMOUR (STR)	SUFFIX	#% to Chaos Resistance	250	250	250	250	250	250									302
BODY ARMOUR (STR)	SUFFIX	#% to Cold Resistance	1000	1000	1000	1000	1000	1000	1000	1000							303
BODY ARMOUR (STR)	SUFFIX	#% to Fire Resistance	1000	1000	1000	1000	1000	1000	1000	1000							304
BODY ARMOUR (STR)	SUFFIX	#% to Lightning Resistance	1000	1000	1000	1000	1000	1000	1000	1000							305
BODY ARMOUR (STR)	SUFFIX	#% of Armour also applies to Elemental Damage	1000	1000	1000	1000	1000	1000									306
BODY ARMOUR (DEX/INT)	PREFIX	# to # Physical Thorns damage	1000	1000	1000	1000	1000	1000	1000								307
BODY ARMOUR (DEX/INT)	PREFIX	#% increased Evasion and Energy Shield	1000	1000	1000	1000	1000	1000	1000	1000							308
BODY ARMOUR (DEX/INT)	PREFIX	# to Evasion Rating, # to maximum Energy Shield, #% increased Evasion and Energy Shield	1000	1000	1000	1000	1000	1000									309
BODY ARMOUR (DEX/INT)	PREFIX	#% increased Evasion and Energy Shield, # to maximum Life	1000	1000	1000	1000	1000	1000									310
BODY ARMOUR (DEX/INT)	PREFIX	# to Evasion Rating, # to maximum Energy Shield	1000	1000	1000	1000	1000	1000	1000	1000							311
BODY ARMOUR (DEX/INT)	PREFIX	# to maximum Life	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000		312
BODY ARMOUR (DEX/INT)	PREFIX	# to Spirit	100	200	300	400	500	500	500	500							313
BODY ARMOUR (DEX/INT)	SUFFIX	# Life Regeneration per second	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000				314
BODY ARMOUR (DEX/INT)	SUFFIX	#% reduced Attribute Requirements	900	900	900	900	900										315
BODY ARMOUR (DEX/INT)	SUFFIX	#% reduced Duration of Bleeding on You	500	500	500	500	500										316
BODY ARMOUR (DEX/INT)	SUFFIX	#% reduced Ignite Duration on you	500	500	500	500	500										317
BODY ARMOUR (DEX/INT)	SUFFIX	#% reduced Poison Duration on you	500	500	500	500	500										318
BODY ARMOUR (DEX/INT)	SUFFIX	# to Dexterity	500	500	500	500	500	500	500	500							319
BODY ARMOUR (DEX/INT)	SUFFIX	# to Intelligence	500	500	500	500	500	500	500	500							320
BODY ARMOUR (DEX/INT)	SUFFIX	# to Stun Threshold	800	800	800	800	800	800	800	800	800	800					321
BODY ARMOUR (DEX/INT)	SUFFIX	#% to Chaos Resistance	250	250	250	250	250	250									322
BODY ARMOUR (DEX/INT)	SUFFIX	#% to Cold Resistance	1000	1000	1000	1000	1000	1000	1000	1000							323
BODY ARMOUR (DEX/INT)	SUFFIX	#% to Fire Resistance	1000	1000	1000	1000	1000	1000	1000	1000							324
BODY ARMOUR (DEX/INT)	SUFFIX	#% to Lightning Resistance	1000	1000	1000	1000	1000	1000	1000	1000							325
BODY ARMOUR (DEX/INT)	SUFFIX	#% faster start of Energy Shield Recharge	500	500	500	500	500	500									326
BODY ARMOUR (DEX/INT)	SUFFIX	Gain Deflection Rating equal to #% of Evasion Rating	500	500	500	500	500	500									327
BODY ARMOUR (STR/INT)	PREFIX	# to # Physical Thorns damage	1000	1000	1000	1000	1000	1000	1000								328
BODY ARMOUR (STR/INT)	PREFIX	#% increased Armour and Energy Shield	1000	1000	1000	1000	1000	1000	1000	1000							329
BODY ARMOUR (STR/INT)	PREFIX	# to Armour, # to maximum Energy Shield, #% increased Armour and Energy Shield	1000	1000	1000	1000	1000	1000									330
BODY ARMOUR (STR/INT)	PREFIX	#% increased Armour and Energy Shield, # to maximum Life	1000	1000	1000	1000	1000	1000									331
BODY ARMOUR (STR/INT)	PREFIX	# to Armour, # to maximum Energy Shield	1000	1000	1000	1000	1000	1000	1000	1000							332
BODY ARMOUR (STR/INT)	PREFIX	# to maximum Life	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000		333
BODY ARMOUR (STR/INT)	PREFIX	# to Spirit	100	200	300	400	500	500	500	500							334
BODY ARMOUR (STR/INT)	SUFFIX	# Life Regeneration per second	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000				335
BODY ARMOUR (STR/INT)	SUFFIX	#% reduced Attribute Requirements	900	900	900	900	900										336
BODY ARMOUR (STR/INT)	SUFFIX	#% reduced Duration of Bleeding on You	500	500	500	500	500										337
BODY ARMOUR (STR/INT)	SUFFIX	#% reduced Ignite Duration on you	500	500	500	500	500										338
BODY ARMOUR (STR/INT)	SUFFIX	#% reduced Poison Duration on you	500	500	500	500	500										339
BODY ARMOUR (STR/INT)	SUFFIX	# to Intelligence	500	500	500	500	500	500	500	500							340
BODY ARMOUR (STR/INT)	SUFFIX	# to Strength	500	500	500	500	500	500	500	500							341
BODY ARMOUR (STR/INT)	SUFFIX	# to Stun Threshold	800	800	800	800	800	800	800	800	800	800					342
BODY ARMOUR (STR/INT)	SUFFIX	#% to Chaos Resistance	250	250	250	250	250	250									343
BODY ARMOUR (STR/INT)	SUFFIX	#% to Cold Resistance	1000	1000	1000	1000	1000	1000	1000	1000							344
BODY ARMOUR (STR/INT)	SUFFIX	#% to Fire Resistance	1000	1000	1000	1000	1000	1000	1000	1000							345
BODY ARMOUR (STR/INT)	SUFFIX	#% to Lightning Resistance	1000	1000	1000	1000	1000	1000	1000	1000							346
BODY ARMOUR (STR/INT)	SUFFIX	#% faster start of Energy Shield Recharge	500	500	500	500	500	500									347
BODY ARMOUR (STR/INT)	SUFFIX	#% of Armour also applies to Elemental Damage	500	500	500	500	500	500									348
BODY ARMOUR (STR/DEX)	PREFIX	# to # Physical Thorns damage	1000	1000	1000	1000	1000	1000	1000								349
BODY ARMOUR (STR/DEX)	PREFIX	#% increased Armour and Evasion	1000	1000	1000	1000	1000	1000	1000	1000							350
BODY ARMOUR (STR/DEX)	PREFIX	# to Armour, # to Evasion Rating, #% increased Armour and Evasion	1000	1000	1000	1000	1000	1000									351
BODY ARMOUR (STR/DEX)	PREFIX	#% increased Armour and Evasion, # to maximum Life	1000	1000	1000	1000	1000	1000									352
BODY ARMOUR (STR/DEX)	PREFIX	# to Armour, # to Evasion Rating	1000	1000	1000	1000	1000	1000	1000	1000							353
BODY ARMOUR (STR/DEX)	PREFIX	# to maximum Life	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000		354
BODY ARMOUR (STR/DEX)	PREFIX	# to Spirit	100	200	300	400	500	500	500	500							355
BODY ARMOUR (STR/DEX)	SUFFIX	# Life Regeneration per second	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000				356
BODY ARMOUR (STR/DEX)	SUFFIX	#% reduced Attribute Requirements	900	900	900	900	900										357
BODY ARMOUR (STR/DEX)	SUFFIX	#% reduced Duration of Bleeding on You	500	500	500	500	500										358
BODY ARMOUR (STR/DEX)	SUFFIX	#% reduced Ignite Duration on you	500	500	500	500	500										359
BODY ARMOUR (STR/DEX)	SUFFIX	#% reduced Poison Duration on you	500	500	500	500	500										360
BODY ARMOUR (STR/DEX)	SUFFIX	# to Dexterity	500	500	500	500	500	500	500	500							361
BODY ARMOUR (STR/DEX)	SUFFIX	# to Strength	500	500	500	500	500	500	500	500							362
BODY ARMOUR (STR/DEX)	SUFFIX	# to Stun Threshold	800	800	800	800	800	800	800	800	800	800					363
BODY ARMOUR (STR/DEX)	SUFFIX	#% to Chaos Resistance	250	250	250	250	250	250									364
BODY ARMOUR (STR/DEX)	SUFFIX	#% to Cold Resistance	1000	1000	1000	1000	1000	1000	1000	1000							365
BODY ARMOUR (STR/DEX)	SUFFIX	#% to Fire Resistance	1000	1000	1000	1000	1000	1000	1000	1000							366
BODY ARMOUR (STR/DEX)	SUFFIX	#% to Lightning Resistance	1000	1000	1000	1000	1000	1000	1000	1000							367
BODY ARMOUR (STR/DEX)	SUFFIX	#% of Armour also applies to Elemental Damage	500	500	500	500	500	500									368
BODY ARMOUR (STR/DEX)	SUFFIX	Gain Deflection Rating equal to #% of Evasion Rating	500	500	500	500	500	500									369
SHIELD (STR)	PREFIX	# to # Physical Thorns damage	1000	1000	1000	1000	1000	1000	1000								370
SHIELD (STR)	PREFIX	#% increased Armour	1000	1000	1000	1000	1000	1000	1000	1000							371
SHIELD (STR)	PREFIX	#% increased Armour, # to Stun Threshold	1000	1000	1000	1000	1000	1000									372
SHIELD (STR)	PREFIX	#% increased Block chance	1000	1000	1000												373
SHIELD (STR)	PREFIX	# to Armour	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000					374
SHIELD (STR)	PREFIX	# to maximum Life	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000				375
SHIELD (STR)	SUFFIX	#% additional Physical Damage Reduction	800	800	800	800	800										376
SHIELD (STR)	SUFFIX	#% reduced Attribute Requirements	800	800	800	800	800										377
SHIELD (STR)	SUFFIX	# to Strength	1000	1000	1000	1000	1000	1000	1000	1000							378
SHIELD (STR)	SUFFIX	# to Stun Threshold	800	800	800	800	800	800	800	800	800	800					379
SHIELD (STR)	SUFFIX	#% to all Maximum Elemental Resistances	125	125													380
SHIELD (STR)	SUFFIX	#% to Chaos Resistance	250	250	250	250	250	250									381
SHIELD (STR)	SUFFIX	#% to Cold Resistance	1000	1000	1000	1000	1000	1000	1000	1000							382
SHIELD (STR)	SUFFIX	#% to Fire Resistance	1000	1000	1000	1000	1000	1000	1000	1000							383
SHIELD (STR)	SUFFIX	#% to Lightning Resistance	1000	1000	1000	1000	1000	1000	1000	1000							384
SHIELD (STR)	SUFFIX	#% to Maximum Chaos Resistance	125	125	125												385
SHIELD (STR)	SUFFIX	#% to Maximum Cold Resistance	250	250	250												386
SHIELD (STR)	SUFFIX	#% to Maximum Fire Resistance	250	250	250												387
SHIELD (STR)	SUFFIX	#% to Maximum Lightning Resistance	250	250	250												388
SHIELD (STR)	SUFFIX	#% of Armour also applies to Elemental Damage	1000	1000	1000	1000	1000	1000									389
BUCKLER	PREFIX	# to # Physical Thorns damage	1000	1000	1000	1000	1000	1000	1000								390
BUCKLER	PREFIX	#% increased Block chance	1000	1000	1000												391
BUCKLER	PREFIX	#% increased Evasion Rating	1000	1000	1000	1000	1000	1000	1000	1000							392
BUCKLER	PREFIX	#% increased Evasion Rating, # to Stun Threshold	1000	1000	1000	1000	1000	1000									393
BUCKLER	PREFIX	# to Evasion Rating	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000					394
BUCKLER	PREFIX	# to maximum Life	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000				395
BUCKLER	SUFFIX	#% reduced Attribute Requirements	800	800	800	800	800										396
BUCKLER	SUFFIX	# to Dexterity	1000	1000	1000	1000	1000	1000	1000	1000							397
BUCKLER	SUFFIX	# to Stun Threshold	800	800	800	800	800	800	800	800	800	800					398
BUCKLER	SUFFIX	#% to all Maximum Elemental Resistances	125	125													399
BUCKLER	SUFFIX	#% to Chaos Resistance	250	250	250	250	250	250									400
BUCKLER	SUFFIX	#% to Cold Resistance	1000	1000	1000	1000	1000	1000	1000	1000							401
BUCKLER	SUFFIX	#% to Fire Resistance	1000	1000	1000	1000	1000	1000	1000	1000							402
BUCKLER	SUFFIX	#% to Lightning Resistance	1000	1000	1000	1000	1000	1000	1000	1000							403
BUCKLER	SUFFIX	#% to Maximum Chaos Resistance	125	125	125												404
BUCKLER	SUFFIX	#% to Maximum Cold Resistance	250	250	250												405
BUCKLER	SUFFIX	#% to Maximum Fire Resistance	250	250	250												406
BUCKLER	SUFFIX	#% to Maximum Lightning Resistance	250	250	250												407
BUCKLER	SUFFIX	Gain Deflection Rating equal to #% of Evasion Rating	1000	1000	1000	1000	1000	1000									408
SHIELD (STR/INT)	PREFIX	# to # Physical Thorns damage	1000	1000	1000	1000	1000	1000	1000								409
SHIELD (STR/INT)	PREFIX	#% increased Armour and Energy Shield	1000	1000	1000	1000	1000	1000	1000	1000							410
SHIELD (STR/INT)	PREFIX	#% increased Armour and Energy Shield, # to Stun Threshold	1000	1000	1000	1000	1000	1000									411
SHIELD (STR/INT)	PREFIX	#% increased Block chance	1000	1000	1000												412
SHIELD (STR/INT)	PREFIX	# to Armour, # to maximum Energy Shield	1000	1000	1000	1000	1000	1000	1000								413
SHIELD (STR/INT)	PREFIX	# to maximum Life	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000				414
SHIELD (STR/INT)	SUFFIX	#% reduced Attribute Requirements	800	800	800	800	800										415
SHIELD (STR/INT)	SUFFIX	# to Intelligence	500	500	500	500	500	500	500	500							416
SHIELD (STR/INT)	SUFFIX	# to Strength	500	500	500	500	500	500	500	500							417
SHIELD (STR/INT)	SUFFIX	# to Stun Threshold	800	800	800	800	800	800	800	800	800	800					418
SHIELD (STR/INT)	SUFFIX	#% to all Elemental Resistances	800	800	800	800	800	800									419
SHIELD (STR/INT)	SUFFIX	#% to all Maximum Elemental Resistances	125	125													420
SHIELD (STR/INT)	SUFFIX	#% to Chaos Resistance	250	250	250	250	250	250									421
SHIELD (STR/INT)	SUFFIX	#% to Cold Resistance	1000	1000	1000	1000	1000	1000	1000	1000							422
SHIELD (STR/INT)	SUFFIX	#% to Fire Resistance	1000	1000	1000	1000	1000	1000	1000	1000							423
SHIELD (STR/INT)	SUFFIX	#% to Lightning Resistance	1000	1000	1000	1000	1000	1000	1000	1000							424
SHIELD (STR/INT)	SUFFIX	#% to Maximum Chaos Resistance	125	125	125												425
SHIELD (STR/INT)	SUFFIX	#% to Maximum Cold Resistance	250	250	250												426
SHIELD (STR/INT)	SUFFIX	#% to Maximum Fire Resistance	250	250	250												427
SHIELD (STR/INT)	SUFFIX	#% to Maximum Lightning Resistance	250	250	250												428
SHIELD (STR/INT)	SUFFIX	#% increased Energy Shield Recharge Rate	500	500	500	500	500	500									429
SHIELD (STR/INT)	SUFFIX	#% of Armour also applies to Elemental Damage	500	500	500	500	500	500									430
SHIELD (STR/DEX)	PREFIX	# to # Physical Thorns damage	1000	1000	1000	1000	1000	1000	1000								431
SHIELD (STR/DEX)	PREFIX	#% increased Armour and Evasion	1000	1000	1000	1000	1000	1000	1000	1000							432
SHIELD (STR/DEX)	PREFIX	#% increased Armour and Evasion, # to Stun Threshold	1000	1000	1000	1000	1000	1000									433
SHIELD (STR/DEX)	PREFIX	#% increased Block chance	1000	1000	1000												434
SHIELD (STR/DEX)	PREFIX	# to Armour, # to Evasion Rating	1000	1000	1000	1000	1000	1000	1000								435
SHIELD (STR/DEX)	PREFIX	# to maximum Life	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000				436
SHIELD (STR/DEX)	SUFFIX	#% reduced Attribute Requirements	800	800	800	800	800										437
SHIELD (STR/DEX)	SUFFIX	# to Dexterity	500	500	500	500	500	500	500	500							438
SHIELD (STR/DEX)	SUFFIX	# to Strength	500	500	500	500	500	500	500	500							439
SHIELD (STR/DEX)	SUFFIX	# to Stun Threshold	800	800	800	800	800	800	800	800	800	800					440
SHIELD (STR/DEX)	SUFFIX	#% to all Maximum Elemental Resistances	125	125													441
SHIELD (STR/DEX)	SUFFIX	#% to Chaos Resistance	250	250	250	250	250	250									442
SHIELD (STR/DEX)	SUFFIX	#% to Cold Resistance	1000	1000	1000	1000	1000	1000	1000	1000							443
SHIELD (STR/DEX)	SUFFIX	#% to Fire Resistance	1000	1000	1000	1000	1000	1000	1000	1000							444
SHIELD (STR/DEX)	SUFFIX	#% to Lightning Resistance	1000	1000	1000	1000	1000	1000	1000	1000							445
SHIELD (STR/DEX)	SUFFIX	#% to Maximum Chaos Resistance	125	125	125												446
SHIELD (STR/DEX)	SUFFIX	#% to Maximum Cold Resistance	250	250	250												447
SHIELD (STR/DEX)	SUFFIX	#% to Maximum Fire Resistance	250	250	250												448
SHIELD (STR/DEX)	SUFFIX	#% to Maximum Lightning Resistance	250	250	250												449
SHIELD (STR/DEX)	SUFFIX	Hits against you have #% reduced Critical Damage Bonus	800	800	800	800	800										450
SHIELD (STR/DEX)	SUFFIX	#% of Armour also applies to Elemental Damage	500	500	500	500	500	500									451
SHIELD (STR/DEX)	SUFFIX	Gain Deflection Rating equal to #% of Evasion Rating	500	500	500	500	500	500									452
BELT	PREFIX	# to # Physical Thorns damage	1000	1000	1000	1000	1000	1000	1000								453
BELT	PREFIX	#% increased Charm Effect Duration	800	800	800	800	800										454
BELT	PREFIX	#% increased Flask Life Recovery rate	800	800	800	800	800	800									455
BELT	PREFIX	#% increased Flask Mana Recovery rate	800	800	800	800	800	800									456
BELT	PREFIX	# to Armour	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000					457
BELT	PREFIX	# to maximum Life	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000					458
BELT	PREFIX	# to maximum Mana	1000	1000	1000	1000	1000	1000	1000	1000	1000						459
BELT	SUFFIX	# Life Regeneration per second	1000	1000	1000	1000	1000	1000	1000	1000	1000						460
BELT	SUFFIX	#% increased Charm Charges gained	800	800	800	800	800	800									461
BELT	SUFFIX	#% increased Flask Charges gained	800	800	800	800	800	800									462
BELT	SUFFIX	#% reduced Charm Charges used	800	800	800	800	800	800									463
BELT	SUFFIX	#% reduced Flask Charges used	800	800	800	800	800	800									464
BELT	SUFFIX	# to Strength	1000	1000	1000	1000	1000	1000	1000	1000	1000						465
BELT	SUFFIX	# to Stun Threshold	800	800	800	800	800	800	800	800	800	800					466
BELT	SUFFIX	#% to Chaos Resistance	250	250	250	250	250	250									467
BELT	SUFFIX	#% to Cold Resistance	1000	1000	1000	1000	1000	1000	1000	1000							468
BELT	SUFFIX	#% to Fire Resistance	1000	1000	1000	1000	1000	1000	1000	1000							469
BELT	SUFFIX	#% to Lightning Resistance	1000	1000	1000	1000	1000	1000	1000	1000							470
RING	PREFIX	#% increased Chaos Damage	500	500	500	500	500	500									471
RING	PREFIX	#% increased Cold Damage	500	500	500	500	500	500									472
RING	PREFIX	#% increased Fire Damage	500	500	500	500	500	500									473
RING	PREFIX	#% increased Lightning Damage	500	500	500	500	500	500									474
RING	PREFIX	#% increased Rarity of Items found	1000	1000	1000												475
RING	PREFIX	# to Accuracy Rating	400	800	800	800	800	800	800	800							476
RING	PREFIX	# to Evasion Rating	1000	1000	1000	1000	1000	1000	1000	1000	1000						477
RING	PREFIX	# to maximum Life	1000	1000	1000	1000	1000	1000	1000	1000							478
RING	PREFIX	# to maximum Mana	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000			479
RING	PREFIX	Adds # to # Cold damage to Attacks	200	300	400	500	500	500	500	500	500						480
RING	PREFIX	Adds # to # Fire damage to Attacks	200	300	400	500	500	500	500	500	500						481
RING	PREFIX	Adds # to # Lightning damage to Attacks	200	300	400	500	500	500	500	500	500						482
RING	PREFIX	Adds # to # Physical Damage to Attacks	400	600	800	1000	1000	1000	1000	1000	1000						483
RING	SUFFIX	# Life Regeneration per second	1000	1000	1000	1000	1000	1000	1000								484
RING	SUFFIX	#% increased Cast Speed	1000	1000	1000	1000											485
RING	SUFFIX	#% increased Mana Regeneration Rate, #% increased Light Radius	1000	1000	1000												486
RING	SUFFIX	#% increased Mana Regeneration Rate	1000	1000	1000	1000	1000	1000									487
RING	SUFFIX	#% increased Rarity of Items found	1000	1000	1000												488
RING	SUFFIX	# to all Attributes	400	400	400	400											489
RING	SUFFIX	# to Dexterity	1000	1000	1000	1000	1000	1000	1000	1000							490
RING	SUFFIX	# to Intelligence	1000	1000	1000	1000	1000	1000	1000	1000							491
RING	SUFFIX	# to Strength	1000	1000	1000	1000	1000	1000	1000	1000							492
RING	SUFFIX	#% to all Elemental Resistances	800	800	800	800	800										493
RING	SUFFIX	#% to Chaos Resistance	250	250	250	250	250	250									494
RING	SUFFIX	#% to Cold Resistance	1000	1000	1000	1000	1000	1000	1000	1000							495
RING	SUFFIX	#% to Fire Resistance	1000	1000	1000	1000	1000	1000	1000	1000							496
RING	SUFFIX	#% to Lightning Resistance	1000	1000	1000	1000	1000	1000	1000	1000							497
RING	SUFFIX	Gain # Life per Enemy Killed	750	750	750	750	750	750									498
RING	SUFFIX	Gain # Mana per Enemy Killed	750	750	750	750	750	750									499
RING	SUFFIX	Leech #% of Physical Attack Damage as Life	1000	1000	1000												500
RING	SUFFIX	Leech #% of Physical Attack Damage as Mana	1000	1000	1000												501
SPEAR	PREFIX	#% increased Elemental Damage with Attacks	500	500	500	500	500	500									502
SPEAR	PREFIX	#% increased Physical Damage	25	50	100	200	400	1000	1000	1000							503
SPEAR	PREFIX	#% increased Physical Damage, # to Accuracy Rating	100	200	400	600	1000	1000	1000	1000							504
SPEAR	PREFIX	# to Accuracy Rating	200	300	600	600	800	800	800	800	800						505
SPEAR	PREFIX	Adds # to # Cold Damage	80	200	320	480	800	800	800	800	800	800					506
SPEAR	PREFIX	Adds # to # Fire Damage	90	225	360	540	900	900	900	900	900	900					507
SPEAR	PREFIX	Adds # to # Lightning Damage	110	275	440	660	1100	1100	1100	1100	1100	1100					508
SPEAR	PREFIX	Adds # to # Physical Damage	100	200	400	600	1000	1000	1000	1000	1000						509
SPEAR	SUFFIX	#% increased Attack Speed	100	200	500	500	1000	1000	1000	1000							510
SPEAR	SUFFIX	# to Accuracy Rating, #% increased Light Radius	1000	1000	1000												511
SPEAR	SUFFIX	#% increased Stun Duration	1000	1000	1000	1000	1000	1000									512
SPEAR	SUFFIX	#% reduced Attribute Requirements	1000	1000	1000	1000	1000										513
SPEAR	SUFFIX	# to Dexterity	750	750	750	750	750	750	750	750							514
SPEAR	SUFFIX	# to Level of all Melee Skills	50	125	250	375	500										515
SPEAR	SUFFIX	# to Level of all Projectile Skills	50	125	250	375	500										516
SPEAR	SUFFIX	# to Strength	250	250	250	250	250	250	250	250							517
SPEAR	SUFFIX	#% to Critical Damage Bonus	125	250	500	1000	1000	1000									518
SPEAR	SUFFIX	#% to Critical Hit Chance	125	250	500	1000	1000	1000									519
SPEAR	SUFFIX	Causes #% increased Stun Buildup	1000	1000	1000	1000	1000	1000									520
SPEAR	SUFFIX	Gain # Life per Enemy Killed	750	750	750	750	750	750	750	750							521
SPEAR	SUFFIX	Gain # Mana per Enemy Killed	750	750	750	750	750	750	750	750							522
SPEAR	SUFFIX	Grants # Life per Enemy Hit	1000	1000	1000	1000											523
SPEAR	SUFFIX	Leeches #% of Physical Damage as Life	1000	1000	1000	1000	1000										524
SPEAR	SUFFIX	Leeches #% of Physical Damage as Mana	1000	1000	1000	1000	1000										525
CROSSBOW	PREFIX	#% increased Elemental Damage with Attacks	500	500	500	500	500	500									526
CROSSBOW	PREFIX	#% increased Physical Damage	25	50	100	200	400	1000	1000	1000							527
CROSSBOW	PREFIX	#% increased Physical Damage, # to Accuracy Rating	100	200	400	600	1000	1000	1000	1000							528
CROSSBOW	PREFIX	# to Accuracy Rating	100	200	300	600	600	800	800	800	800	800					529
CROSSBOW	PREFIX	Adds # to # Cold Damage	80	200	320	480	800	800	800	800	800	800					530
CROSSBOW	PREFIX	Adds # to # Fire Damage	100	250	400	600	1000	1000	1000	1000	1000	1000					531
CROSSBOW	PREFIX	Adds # to # Lightning Damage	100	250	400	600	1000	1000	1000	1000	1000	1000					532
CROSSBOW	PREFIX	Adds # to # Physical Damage	100	200	400	600	1000	1000	1000	1000	1000						533
CROSSBOW	SUFFIX	#% increased Attack Speed	400	500	1000	1000	1000										534
CROSSBOW	SUFFIX	# to Accuracy Rating, #% increased Light Radius	1000	1000	1000												535
CROSSBOW	SUFFIX	#% reduced Attribute Requirements	1000	1000	1000	1000	1000										536
CROSSBOW	SUFFIX	# to Dexterity	500	500	500	500	500	500	500	500							537
CROSSBOW	SUFFIX	# to Level of all Projectile Skills	100	250	500	750	1000										538
CROSSBOW	SUFFIX	# to Strength	500	500	500	500	500	500	500	500							539
CROSSBOW	SUFFIX	#% to Critical Damage Bonus	125	250	500	1000	1000	1000									540
CROSSBOW	SUFFIX	#% to Critical Hit Chance	125	250	500	1000	1000	1000									541
CROSSBOW	SUFFIX	Gain # Life per Enemy Killed	750	750	750	750	750	750	750	750							542
CROSSBOW	SUFFIX	Gain # Mana per Enemy Killed	750	750	750	750	750	750	750	750							543
CROSSBOW	SUFFIX	Grants # Life per Enemy Hit	1000	1000	1000	1000											544
CROSSBOW	SUFFIX	Leeches #% of Physical Damage as Life	1000	1000	1000	1000											545
CROSSBOW	SUFFIX	Leeches #% of Physical Damage as Mana	1000	1000	1000	1000											546
CROSSBOW	SUFFIX	Loads # additional bolts	125	250													547
